imdbId,budget,revenue,originalTitle,releaseDate
tt0120737,93000000,871368364,The Lord of the Rings: The Fellowship of the Ring,2001-12-18
tt5463162,110000000,741547413,Deadpool 2,2018-05-10
tt0121765,120000000,649398328,Star Wars: Episode II - Attack of the Clones,2002-05-15
tt3501632,180000000,853977126,Thor: Ragnarok,2017-10-25
tt0367882,185000000,786636033,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
tt0770828,225000000,668045518,Man of Steel,2013-06-12
tt1074638,200000000,1108561013,Skyfall,2012-10-25
tt0325980,140000000,655011224,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
tt0116629,75000000,817400891,Independence Day,1996-06-25
tt1259571,50000000,709827462,The Twilight Saga: New Moon,2009-03-15
tt0417741,250000000,933959197,Harry Potter and the Half-Blood Prince,2009-07-07
tt1325004,68000000,698491347,The Twilight Saga: Eclipse,2010-06-23
tt0948470,215000000,752215857,The Amazing Spider-Man,2012-06-27
tt0086190,32350000,572700000,Return of the Jedi,1983-05-25
tt1375666,160000000,825532764,Inception,2010-07-15
tt0167404,40000000,672806292,The Sixth Sense,1999-08-06
tt0080684,18000000,538400000,The Empire Strikes Back,1980-05-20
tt1324999,110000000,712171856,The Twilight Saga: Breaking Dawn - Part 1,2011-03-15
tt1119646,35000000,459270619,The Hangover,2009-06-02
tt0363771,180000000,745013115,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07
tt3470600,75000000,634151679,Sing,2016-11-23
tt0290002,80000000,516642939,Meet the Fockers,2004-12-22
tt0330373,150000000,895921036,Harry Potter and the Goblet of Fire,2005-11-16
tt1951266,160000000,653428261,The Hunger Games: Mockingjay - Part 2,2015-11-18
tt0126029,60000000,484409218,Shrek,2001-05-16
tt2709692,75000000,508575295,The Grinch,2018-11-08
tt1453405,200000000,743559607,Monsters University,2013-06-20
tt1673434,120000000,829000000,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13
tt0373889,150000000,938212738,Harry Potter and the Order of the Phoenix,2007-06-28
tt3469046,80000000,1031552585,Despicable Me 3,2017-06-15
tt1454468,105000000,716392705,Gravity,2013-10-03
tt2015381,170000000,772776600,Guardians of the Galaxy,2014-07-30
tt2975590,250000000,873260194,Batman v Superman: Dawn of Justice,2016-03-23
tt0903624,250000000,1021103568,The Hobbit: An Unexpected Journey,2012-11-26
tt0796366,150000000,385680446,Star Trek,2009-05-06
tt0878804,29000000,309208309,The Blind Side,2009-11-20
tt0099785,18000000,476684675,Home Alone,1990-11-09
tt0317705,92000000,631442092,The Incredibles,2004-11-05
tt0073195,7000000,470653000,Jaws,1975-06-18
tt1170358,250000000,958400000,The Hobbit: The Desolation of Smaug,2013-12-11
tt0198781,115000000,562816256,"Monsters, Inc.",2001-11-01
