imdb_id,date
tt1046173,2009-08-04
tt2004420,2014-05-08
tt0181852,2003-07-02
tt1528854,2015-12-25
tt1800241,2013-12-12
tt0970866,2010-12-21
tt0119822,1997-12-19
tt0478311,2007-06-01
tt1707386,2012-12-18
tt0415306,2006-08-04
tt0097733,1989-07-07
tt1205489,2008-12-09
tt1001526,2010-10-28
tt0448694,2011-10-28
tt0837562,2012-09-20
tt0275847,2002-06-21
tt1270798,2011-06-01
tt0055254,1961-01-25
tt3450958,2017-07-11
tt0252866,2001-08-10
tt0111503,1994-07-15
tt0936501,2008-02-18
tt1114740,2009-01-15
tt4779682,2018-08-09
tt1343092,2013-05-10
tt0343818,2004-07-15
tt0111070,1994-11-10
tt0795421,2008-07-02
tt0232500,2001-06-22
tt0104714,1992-05-15
tt0467406,2007-12-05
tt2267968,2016-01-23
tt0118998,1998-06-22
tt1436562,2011-04-03
tt5884052,2019-05-03
tt0295701,2002-08-09
tt7131622,2019-07-25
tt0472181,2011-07-29
tt0822832,2008-12-25
tt0061852,1967-10-18
tt0104257,1992-12-11
tt0114148,1995-06-14
tt1010048,2008-05-12
tt0077975,1978-07-27
tt0499448,2008-05-15
tt0120647,1998-05-08
tt0120812,1998-09-18
tt0185937,1999-07-14
tt5164214,2018-06-07
tt0448115,2019-03-29
tt0105417,1992-05-28
tt0097778,1989-10-12
tt0164912,1999-01-18
tt1397280,2012-09-27
tt0293564,2007-08-08
tt1504320,2010-09-06
tt0172156,2003-07-18
tt0349205,2003-12-24
tt0304669,2002-10-31
tt0242653,2003-11-03
tt4972582,2016-09-26
tt0119217,1997-12-05
tt0091763,1986-12-19
tt1067106,2009-11-04
tt1232829,2012-03-14
tt1457767,2013-03-20
tt0389860,2006-06-22
tt0120689,1999-12-10
tt0130623,2000-05-19
tt1677720,2018-03-28
tt1024648,2012-10-11
tt0120685,1998-05-20
tt0305224,2003-04-11
tt0115433,1996-11-17
tt0117438,1996-11-08
tt0100758,1990-03-30
tt0371606,2005-11-04
tt0075860,1977-11-16
tt0129290,1998-12-25
tt0068646,1972-03-14
tt2024432,2013-02-07
tt0493464,2008-06-19
tt0800080,2008-06-12
tt1408253,2014-01-07
tt0337978,2007-06-20
tt0332452,2004-05-03
tt2191701,2013-07-11
tt0117500,1996-06-06
tt0078346,1978-12-13
tt2543472,2017-11-13
tt0317919,2006-05-03
tt1615918,2011-12-14
tt0808151,2009-05-13
tt0305669,2003-03-07
tt1430132,2013-07-23
tt0181689,2002-06-20
tt0407887,2006-10-05
tt0486576,2007-06-13
tt1045658,2012-09-08
tt0286716,2003-06-19
tt0122151,1998-07-10
tt0109813,1994-05-26
tt2357291,2014-03-19
tt2908446,2015-03-18
tt0146316,2001-06-11
tt0425061,2008-06-19
tt2452042,2015-11-01
tt0102926,1991-02-01
tt0938283,2010-06-30
tt0169547,1999-09-15
tt0765429,2007-11-02
tt0097523,1989-06-22
tt0084434,1982-07-28
tt3371366,2017-06-16
tt0298130,2002-10-18
tt0117218,1996-06-26
tt1289401,2016-07-14
tt0443453,2006-11-01
tt0358082,2005-03-10
tt2802144,2014-12-13
tt2180411,2014-12-24
tt1130884,2010-02-14
tt0089927,1985-11-21
tt0094898,1988-06-29
tt0421715,2008-12-25
tt0190332,2000-07-06
tt1489889,2016-06-15
tt0256415,2002-09-26
tt1229340,2013-12-18
tt1650062,2011-06-08
tt4701182,2018-12-15
tt0322259,2003-06-05
tt0109686,1994-12-16
tt0461770,2007-11-20
tt0119738,1997-06-19
tt0108160,1993-06-24
tt0143145,1999-11-17
tt0076729,1977-05-26
tt2872732,2014-07-25
tt0918940,2016-06-29
tt1599348,2012-02-09
tt0389790,2007-10-28
tt1446714,2012-05-30
tt0280590,2002-06-28
tt0120382,1998-06-04
tt0195685,2000-03-17
tt0349903,2004-12-09
tt0120347,1997-12-11
tt0438488,2009-05-20
tt3263904,2016-09-07
tt1606389,2012-02-05
tt0160127,2000-11-02
tt0084602,1982-05-28
tt1091191,2013-12-24
tt0454876,2012-11-20
tt0458352,2006-06-30
tt0337741,2003-12-12
tt2582846,2014-05-16
tt0844471,2009-09-17
tt0181865,2000-12-27
tt0101587,1991-06-07
tt0115685,1996-03-08
tt0144528,2000-07-27
tt0093105,1987-12-23
tt1192628,2011-03-02
tt1979388,2015-11-14
tt0099810,1990-03-02
tt0109444,1994-08-03
tt0103855,1992-11-25
tt0258463,2002-06-14
tt0111257,1994-06-09
tt0105793,1992-02-14
tt1583421,2013-03-26
tt0829482,2007-08-17
tt0343660,2004-02-13
tt0361748,2009-08-18
tt0329575,2003-07-22
tt6911608,2018-07-09
tt0120762,1998-06-18
tt0338526,2004-05-05
tt1985966,2013-09-26
tt0102057,1991-12-11
tt0762107,2007-07-12
tt0369436,2008-11-26
tt0110475,1994-07-29
tt0082846,1981-12-01
tt0358273,2005-09-13
tt0436339,2009-07-21
tt0071230,1974-02-07
tt0100802,1990-06-01
tt0427327,2007-07-13
tt0164184,2002-05-31
tt0096874,1989-11-22
tt1386588,2010-08-06
tt0445934,2007-03-30
tt0944835,2010-07-21
tt0103772,1992-03-20
tt0339291,2004-12-16
tt0361596,2004-06-25
tt0452594,2006-06-01
tt1950186,2019-11-13
tt0099423,1990-07-02
tt1499658,2011-07-08
tt1670345,2013-05-29
tt0208003,2000-05-31
tt1116184,2010-10-15
tt0075148,1976-11-21
tt5814060,2018-09-05
tt0496806,2007-06-06
tt0257076,2003-08-08
tt0993846,2013-12-25
tt1327773,2013-08-16
tt1133985,2011-06-16
tt0150377,1999-09-24
tt0298203,2002-11-08
tt0259324,2007-02-16
tt0125439,1999-05-13
tt6343314,2018-11-21
tt0128853,1998-12-17
tt0072308,1974-12-14
tt1809398,2014-12-25
tt0210945,2000-09-29
tt5117670,2018-02-07
tt1136608,2009-08-05
tt3564472,2017-07-21
tt4465564,2017-02-08
tt0091326,1986-06-18
tt0069704,1973-08-01
tt3861390,2019-03-27
tt0094737,1988-06-03
tt4777008,2019-10-16
tt0397892,2008-01-29
tt0368447,2004-07-30
tt0364725,2004-06-18
tt0120891,1999-06-29
tt2692250,2014-12-17
tt0101272,1991-11-22
tt0187393,2000-06-28
tt1915581,2012-06-28
tt4651520,2016-07-28
tt0073629,1975-08-14
tt1194173,2012-08-08
tt1230414,2009-12-23
tt0240462,2001-06-22
tt0395699,2005-03-04
tt0227538,2001-03-18
tt0097428,1989-06-16
tt0119094,1997-06-27
tt0096320,1988-12-09
tt0120660,1998-11-20
tt0338459,2003-07-25
tt0097757,1989-11-17
tt0864835,2014-02-07
tt0059113,1965-12-22
tt1951261,2013-05-23
tt0942385,2008-08-09
tt0325710,2003-12-05
tt6823368,2019-01-16
tt0084522,1981-11-13
tt3079380,2015-05-06
tt0322330,2003-08-03
tt0391198,2004-10-22
tt0369441,2005-12-21
tt0817230,2010-02-10
tt3741700,2019-05-29
tt0092007,1986-11-26
tt3152624,2015-07-17
tt0960731,2008-12-24
tt0306047,2003-10-24
tt3076658,2015-11-25
tt0405422,2005-08-11
tt0092493,1988-05-19
tt0117913,1996-07-24
tt0073486,1975-11-18
tt1078940,2009-09-19
tt1987680,2019-01-10
tt0265086,2001-12-28
tt0247638,2001-08-03
tt0086425,1983-11-20
tt0112281,1995-11-10
tt0110912,1994-09-10
tt3281548,2019-12-25
tt1411704,2011-03-30
tt1179904,2009-09-25
tt0081573,1980-12-04
tt0104694,1992-07-01
tt3890160,2017-06-28
tt1985949,2016-05-11
tt0409459,2009-03-05
tt0848537,2013-05-15
tt0122933,1999-03-05
tt1535109,2013-10-10
tt0118688,1997-06-20
tt0947798,2010-12-03
tt0120630,2000-06-21
tt0107211,1993-04-07
tt1253863,2014-03-05
tt0212346,2000-12-14
tt0066011,1970-12-16
tt0097239,1989-12-13
tt3513498,2019-01-26
tt0079417,1979-12-18
tt0251127,2003-02-07
tt0317740,2003-05-30
tt0113189,1995-11-16
tt0116313,1996-09-20
tt0119190,1997-07-15
tt5503686,2019-09-12
tt0955308,2010-05-12
tt0110148,1994-11-11
tt0328828,2003-08-01
tt0061722,1967-12-21
tt0257044,2002-07-12
tt4765284,2017-12-20
tt0117333,1996-07-05
tt0780521,2009-12-08
tt0980970,2010-08-13
tt0317303,2003-05-03
tt5657846,2017-11-09
tt1778304,2011-10-19
tt0099422,1990-04-05
tt0443489,2006-12-25
tt1397514,2012-01-19
tt1446192,2012-11-21
tt7959026,2018-12-14
tt1564367,2011-02-10
tt0080319,1980-12-18
tt1628841,2016-06-22
tt1320253,2010-08-03
tt0117571,1996-12-20
tt3402236,2017-11-03
tt0144214,1999-06-18
tt0163651,1999-07-09
tt0338751,2004-12-17
tt0287978,2003-02-14
tt0859163,2008-07-01
tt1568346,2011-12-14
tt3065204,2016-05-13
tt0107206,1993-07-08
tt1790864,2014-09-10
tt5140878,2017-08-03
tt0058331,1964-08-27
tt0034492,1942-08-14
tt0064115,1969-09-23
tt3766354,2018-07-19
tt0373051,2008-07-10
tt3063516,2013-10-22
tt0187078,2000-06-09
tt1663662,2013-07-11
tt0120794,1998-12-15
tt0110478,1994-05-20
tt1059786,2008-09-25
tt0102945,1991-01-13
tt1245492,2013-06-12
tt0455944,2014-09-24
tt0105695,1992-08-07
tt0120082,1997-12-09
tt0312528,2003-11-21
tt0081562,1980-12-12
tt0118880,1997-06-01
tt0116213,1996-06-21
tt2231461,2018-04-12
tt0369339,2004-08-04
tt1959490,2014-03-07
tt0162661,1999-11-18
tt0107798,1993-12-16
tt2543164,2016-11-10
tt0259711,2001-12-10
tt0305357,2003-06-27
tt0118884,1997-07-11
tt0405159,2004-12-15
tt0065377,1970-03-05
tt0113497,1995-12-15
tt0134067,1998-11-20
tt1231583,2010-11-04
tt0838283,2008-07-25
tt0413099,2007-06-09
tt4477536,2018-01-17
tt0112642,1995-05-26
tt1620680,2018-03-08
tt4649466,2017-09-20
tt1284575,2011-05-16
tt1302067,2010-12-17
tt0409847,2011-07-29
tt0138097,1998-12-11
tt0098067,1989-07-31
tt1620981,2019-10-10
tt0114369,1995-09-22
tt0116583,1996-06-21
tt4575576,2018-08-02
tt0960144,2008-06-05
tt0377981,2011-01-13
tt1355644,2016-12-21
tt1631867,2014-05-27
tt0112864,1995-05-19
tt0088939,1985-12-18
tt1279935,2010-04-08
tt0119282,1997-06-20
tt0990407,2011-01-12
tt2302755,2013-03-20
tt1152836,2009-07-01
tt0396555,2007-03-23
tt1700841,2016-07-11
tt0141369,1999-07-23
tt0108052,1993-11-30
tt0230600,2001-08-02
tt1068680,2008-12-09
tt1285016,2010-10-01
tt0250494,2001-07-13
tt6398184,2019-09-12
tt0258000,2002-03-29
tt0097165,1989-06-02
tt2066051,2019-05-22
tt1790885,2012-12-19
tt0477051,2007-02-08
tt0368933,2004-08-06
tt0159365,2003-12-24
tt0117038,1996-12-25
tt1261945,2010-05-26
tt0082031,1981-07-17
tt0217869,2000-11-13
tt0453562,2013-04-12
tt1037705,2010-01-11
tt1014775,2008-10-03
tt0443649,2008-02-22
tt0252076,2002-12-13
tt0120746,1998-07-16
tt1001508,2009-02-06
tt1135503,2009-08-06
tt0076666,1977-12-16
tt0265029,2001-07-17
tt1907668,2012-11-02
tt0048280,1955-06-22
tt0311113,2003-11-14
tt0964517,2010-12-17
tt2404435,2016-09-14
tt0290296,2002-04-17
tt1964418,2015-05-19
tt0825232,2007-12-25
tt0239395,2001-07-04
tt0313737,2002-12-19
tt0042332,1950-02-22
tt1535108,2013-08-07
tt0098635,1989-07-21
tt0289765,2002-09-29
tt0085549,1983-04-14
tt2024469,2014-02-26
tt0840361,2010-09-15
tt0119137,1997-11-26
tt0109446,1994-07-20
tt1856101,2017-10-04
tt4425200,2017-02-08
tt1621045,2012-04-16
tt0099938,1990-12-21
tt1929263,2014-04-16
tt0171363,1999-07-23
tt0117731,1996-11-22
tt2869728,2016-01-14
tt0112740,1995-05-12
tt0090685,1986-06-13
tt0120686,1998-12-25
tt0277296,2002-04-18
tt2084970,2014-11-14
tt0087538,1984-06-22
tt0206275,2001-01-12
tt0362120,2006-04-12
tt0473075,2010-05-19
tt0120587,1998-10-02
tt0492956,2007-09-28
tt0183505,2000-06-22
tt0962726,2008-10-11
tt2561572,2015-03-26
tt1142800,2009-02-16
tt0186566,2000-07-31
tt0117705,1996-11-15
tt0327056,2003-10-07
tt1245526,2010-10-13
tt1691917,2013-08-09
tt0333780,2003-07-02
tt0086465,1983-06-07
tt0408790,2005-09-22
tt1210819,2013-07-03
tt1340138,2015-06-23
tt0101862,1991-12-20
