imdb_id,title,year,director,production_co,region_code,rank,budget_usd,us_gross
tt3315342,Logan,2017,James Mangold,Twentieth Century Fox,[US],600,$97MM,$226MM
tt0266915,Rush Hour 2,2001,Brett Ratner,New Line Cinema,[US],"4,763",$90MM,$226MM
tt4630562,The Fate of the Furious,2017,F. Gary Gray,Universal Pictures,[US],"1,179",$250MM,$226MM
tt0910970,WALL·E,2008,Andrew Stanton,FortyFour Studios,[US],993,$180MM,$224MM
tt2245084,Big Hero 6,2014,Don Hall,FortyFour Studios,[US],"1,747",$165MM,$223MM
tt0114709,Toy Story,1995,John Lasseter,Pixar Animation Studios,[US],852,$30MM,$222MM
tt4912910,Mission: Impossible - Fallout,2018,Christopher McQuarrie,Paramount Pictures,[US],305,$178MM,$220MM
tt0465234,National Treasure: Book of Secrets,2007,Jon Turteltaub,Walt Disney Pictures,[US],"4,616",$130MM,$220MM
tt1231580,Alvin and the Chipmunks: The Squeakquel,2009,Betty Thomas,Fox 2000 Pictures,[US],"9,147",$75MM,$220MM
tt0107614,Mrs. Doubtfire,1993,Chris Columbus,Twentieth Century Fox,[US],"1,473",$25MM,$219MM
tt0101414,Beauty and the Beast,1991,Gary Trousdale,Walt Disney Pictures,[US],"1,852",$25MM,$219MM
tt1637725,Ted,2012,Seth MacFarlane,Universal Pictures,[US],"1,610",$50MM,$219MM
tt0360717,King Kong,2005,Peter Jackson,Universal Pictures,[US],"1,168",$207MM,$218MM
tt0099653,Ghost,1990,Jerry Zucker,Paramount Pictures,[US],"1,593",$22MM,$218MM
tt0892769,How to Train Your Dragon,2010,Dean DeBlois,DreamWorks Animation,[US],"2,831",$165MM,$218MM
tt0382625,The Da Vinci Code,2006,Ron Howard,Columbia Pictures,[US],"1,997",$125MM,$218MM
tt0103639,Aladdin,1992,Ron Clements,Walt Disney Pictures,[US],"1,496",$28MM,$217MM
tt0952640,Alvin and the Chipmunks,2007,Tim Hill,Fox 2000 Pictures,[US],"4,448",$60MM,$217MM
tt0120815,Saving Private Ryan,1998,Steven Spielberg,DreamWorks,[US],429,$70MM,$217MM
tt5095030,Ant-Man and the Wasp,2018,Peyton Reed,Marvel Studios,[US],"1,757",$162MM,$217MM
tt1727824,Bohemian Rhapsody,2018,Bryan Singer,GK Films,[GB],449,$52MM,$216MM
tt1277953,Madagascar 3: Europe's Most Wanted,2012,Eric Darnell,DreamWorks Animation,[US],"5,249",$145MM,$216MM
tt0441773,Kung Fu Panda,2008,Mark Osborne,DreamWorks Animation,[US],"2,012",$130MM,$215MM
tt0120755,Mission: Impossible II,2000,John Woo,Paramount Pictures,[US],"2,518",$125MM,$215MM
tt1517451,A Star Is Born,2018,Bradley Cooper,Warner Bros. Pictures,[US],698,$36MM,$215MM
tt0290334,X2: X-Men United,2003,Bryan Singer,Twentieth Century Fox,[US],"2,672",$110MM,$215MM
tt1482459,The Lorax,2012,Chris Renaud,Universal Pictures,[US],"3,834",$70MM,$214MM
tt3778644,Solo: A Star Wars Story,2018,Ron Howard,Lucasfilm,[US],"1,015",$275MM,$214MM
tt1270797,Venom,2018,Ruben Fleischer,Avi Arad Productions,[US],828,$100MM,$214MM
tt0295178,Austin Powers in Goldmember,2002,Jay Roach,New Line Cinema,[US],"2,938",$63MM,$213MM
tt7349950,It Chapter Two,2019,Andy Muschietti,KatzSmith Productions,[US],304,$79MM,$212MM
tt0088763,Back to the Future,1985,Robert Zemeckis,Universal Pictures,[US],425,$19MM,$211MM
tt0416449,300,2006,Zack Snyder,Warner Bros.,[US],580,$65MM,$211MM
tt1596343,Fast Five,2011,Justin Lin,Universal Pictures,[US],"1,824",$125MM,$210MM
tt2380307,Coco,2017,Lee Unkrich,Walt Disney Pictures,[US],884,$175MM,$210MM
tt1229238,Mission: Impossible - Ghost Protocol,2011,Brad Bird,Paramount Pictures,[US],"2,139",$145MM,$209MM
tt0396269,Wedding Crashers,2005,David Dobkin,New Line Cinema,[US],"2,107",$40MM,$209MM
tt0988045,Sherlock Holmes,2009,Guy Ritchie,Warner Bros.,[US],"1,737",$90MM,$209MM
tt2103281,Dawn of the Planet of the Apes,2014,Matt Reeves,Chernin Entertainment,[US],"3,265",$170MM,$209MM
tt0372784,Batman Begins,2005,Christopher Nolan,Warner Bros.,[US],573,$150MM,$207MM
tt0367594,Charlie and the Chocolate Factory,2005,Tim Burton,Warner Bros.,[US],"1,013",$150MM,$206MM
tt0382932,Ratatouille,2007,Brad Bird,Walt Disney Pictures,[US],878,$150MM,$206MM
tt1981115,Thor: The Dark World,2013,Alan Taylor,Marvel Studios,[US],"1,107",$170MM,$206MM
tt0145660,Austin Powers: The Spy Who Shagged Me,1999,Jay Roach,New Line Cinema,[US],"2,514",$33MM,$206MM
tt0103064,Terminator 2: Judgment Day,1991,James Cameron,Carolco Pictures,[US],901,$102MM,$206MM
tt1872181,The Amazing Spider-Man 2,2014,Marc Webb,Marvel Enterprises,[US],"2,554",$200MM,$203MM
tt0816711,World War Z,2013,Marc Forster,Paramount Pictures,[US],462,$190MM,$202MM
tt0209163,The Mummy Returns,2001,Stephen Sommers,Universal Pictures,[US],"2,169",$98MM,$202MM
tt0120591,Armageddon,1998,Michael Bay,Touchstone Pictures,[US],"1,486",$140MM,$202MM
tt1661199,Cinderella,2015,Kenneth Branagh,Allison Shearmur Productions,[US],"1,058",$95MM,$201MM
tt5848272,Ralph Breaks the Internet,2018,Phil Johnston,Walt Disney Animation Studios,[US],"1,458",$175MM,$201MM
tt0031381,Gone with the Wind,1939,Victor Fleming,Selznick International Pictures,[US],"1,293",$4MM,$201MM
tt0398286,Tangled,2010,Nathan Greno,Walt Disney Animation Studios,[US],"1,035",$260MM,$201MM
tt0831387,Godzilla,2014,Gareth Edwards,Warner Bros.,[US],"1,094",$160MM,$201MM
tt0348150,Superman Returns,2006,Bryan Singer,Warner Bros.,[US],"2,360",$270MM,$200MM
tt2379713,Spectre,2015,Sam Mendes,B24,[GB],457,$245MM,$200MM
tt0213149,Pearl Harbor,2001,Michael Bay,Touchstone Pictures,[US],736,$140MM,$199MM
tt0892782,Monsters vs. Aliens,2009,Rob Letterman,DreamWorks Animation,[US],"3,748",$175MM,$198MM
tt0366548,Happy Feet,2006,George Miller,Warner Bros.,[US],"4,580",$100MM,$198MM
tt0097576,Indiana Jones and the Last Crusade,1989,Steven Spielberg,Paramount Pictures,[US],"1,223",$48MM,$197MM
tt1080016,Ice Age: Dawn of the Dinosaurs,2009,Carlos Saldanha,Twentieth Century Fox Animation,[US],"7,209",$90MM,$197MM
tt0438097,Ice Age: The Meltdown,2006,Carlos Saldanha,Twentieth Century Fox Animation,[US],"6,417",$80MM,$195MM
tt2381249,Mission: Impossible - Rogue Nation,2015,Christopher McQuarrie,Paramount Pictures,[US],"1,042",$150MM,$195MM
tt1099212,Twilight,2008,Catherine Hardwicke,Summit Entertainment,[US],631,$37MM,$194MM
tt0120912,Men in Black II,2002,Barry Sonnenfeld,Columbia Pictures,[US],"2,013",$140MM,$194MM
tt0351283,Madagascar,2005,Eric Darnell,DreamWorks Animation,[US],"2,622",$75MM,$194MM
tt2294449,22 Jump Street,2014,Phil Lord,Columbia Pictures,[US],"3,719",$50MM,$192MM
tt1216475,Cars 2,2011,John Lasseter,Walt Disney Pictures,[US],"3,123",$200MM,$191MM
tt1291150,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,Paramount Pictures,[US],"3,495",$125MM,$191MM
tt4633694,Spider-Man: Into the Spider-Verse,2018,Bob Persichetti,Sony Pictures Entertainment (SPE),[US],465,$90MM,$190MM
tt0077631,Grease,1978,Randal Kleiser,Paramount Pictures,[US],"1,100",$6MM,$190MM
tt5013056,Dunkirk,2017,Christopher Nolan,Syncopy,[GB],440,$100MM,$190MM
tt1772341,Wreck-It Ralph,2012,Rich Moore,Walt Disney Animation Studios,[US],"2,192",$165MM,$189MM
tt6644200,A Quiet Place,2018,John Krasinski,Paramount Pictures,[US],61,$17MM,$188MM
tt0816692,Interstellar,2014,Christopher Nolan,Paramount Pictures,[US],243,$165MM,$188MM
tt0172495,Gladiator,2000,Ridley Scott,DreamWorks,[US],433,$103MM,$188MM
tt0338348,The Polar Express,2004,Robert Zemeckis,Castle Rock Entertainment,[US],"5,381",$165MM,$187MM
tt0481499,The Croods,2013,Kirk DeMicco,DreamWorks Animation,[US],"3,805",$135MM,$187MM
tt1515091,Sherlock Holmes: A Game of Shadows,2011,Guy Ritchie,Warner Bros.,[US],"2,525",$125MM,$187MM
tt0319262,The Day After Tomorrow,2004,Roland Emmerich,Twentieth Century Fox,[US],"1,465",$125MM,$187MM
tt0356910,Mr. & Mrs. Smith,2005,Doug Liman,Regency Enterprises,[US],"1,267",$110MM,$186MM
tt0029583,Snow White and the Seven Dwarfs,1937,William Cottrell,Walt Disney Productions,[US],"3,071",$1.5MM,$185MM
tt2848292,Pitch Perfect 2,2015,Elizabeth Banks,Brownstone Productions (II),[US],"1,541",$29MM,$184MM
tt0099348,Dances with Wolves,1990,Kevin Costner,Tig Productions,[US],"1,832",$22MM,$184MM
tt0112462,Batman Forever,1995,Joel Schumacher,Warner Bros.,[US],682,$100MM,$184MM
tt0106977,The Fugitive,1993,Andrew Davis,Warner Bros.,[US],"2,557",$44MM,$184MM
tt1663202,The Revenant,2015,Alejandro G. Iñárritu,Regency Enterprises,[US],614,$135MM,$184MM
tt0240772,Ocean's Eleven,2001,Steven Soderbergh,Warner Bros.,[US],824,$85MM,$183MM
tt0462538,The Simpsons Movie,2007,David Silverman,Twentieth Century Fox,[US],"4,230",$75MM,$183MM
tt0207201,What Women Want,2000,Nancy Meyers,Paramount Pictures,[US],"4,247",$70MM,$183MM
tt0177971,The Perfect Storm,2000,Wolfgang Petersen,Warner Bros.,[US],"3,632",$140MM,$183MM
tt0443272,Lincoln,2012,Steven Spielberg,DreamWorks,[US],"2,374",$65MM,$182MM
tt0119528,Liar Liar,1997,Tom Shadyac,Universal Pictures,[US],"1,387",$45MM,$181MM
tt0163025,Jurassic Park III,2001,Joe Johnston,Universal Pictures,[US],"2,513",$93MM,$181MM
tt0800369,Thor,2011,Kenneth Branagh,Paramount Pictures,[US],934,$150MM,$181MM
