name,year,rank,age,height
Carla Gugino,(2009),242,48,"5' 5"""
Emma Watson,(2012),243,29,"5' 5"""
Jon Hamm,(2007-2015),244,49,"6' 1¼"""
Greg Austin,(2014-2016),245,,"5' 10"""
Jason Bateman,(2003-2019),246,51,"5' 11"""
Bruce Willis,(1988),247,65,"6' 0"""
Grace VanderWaal,(2020),248,16,"5' 5"""
Sylvester Stallone,(1976),249,73,"5' 9½"""
Connor Jessup,(2016-2017),250,25,"5' 11"""
Ed Skrein,(2016),251,36,"6' 1"""
Jama Williamson,(2017-2019),252,,"5' 8"""
Freya Allan,(2019),253,,"5' 3½"""
Emma Mackey,(2019-2020),254,,"5' 8¾"""
Renée Zellweger,(2002),255,50,"5' 3"""
Jason Momoa,(2018),256,40,"6' 4"""
Mckenna Grace,(2017),257,,"4' 10½"""
Ivana Milicevic,(2005),258,45,"5' 9"""
Rachel McAdams,(2004),259,41,"5' 4"""
Kathleen Rose Perkins,(2005),260,45,"5' 3½"""
Jude Law,(1999),261,47,"5' 10"""
Alexander Skarsgård,(2008-2014),262,43,"6' 4½"""
Emily Hampshire,(2015-2018),263,38,"5' 5"""
Mel Gibson,(1995),264,64,"5' 9¾"""
Emily Browning,(2004),265,31,"5' 2"""
Adam Driver,(2015),266,36,"6' 2½"""
Gillian Anderson,(1993-2018),267,51,"5' 3"""
Colin Hanks,(2005),268,42,"6' 1½"""
Michael Shannon,(2017),269,45,"6' 3¼"""
Meghan Markle,(2010),270,,"5' 6"""
Jackie Seiden,(2019-2020),271,,"5' 7"""
Nathalie Kelley,(2006),272,35,"5' 6"""
Reese Witherspoon,(2014),273,43,"5' 2"""
Nick Offerman,(2009-2015),274,49,"5' 11"""
Manny Montana,(2013-2015),275,,"6' 1"""
Chloë Grace Moretz,(2010),276,23,"5' 4"""
Jeffrey Dean Morgan,(2009),277,53,"6' 1"""
Zachary Levi,(2007-2012),278,39,"6' 3"""
Jake Gyllenhaal,(2014),279,39,"5' 11¾"""
Dean-Charles Chapman,(2019),281,,"5' 9"""
Jessica Biel,(2006),282,38,"5' 7"""
Jerrika Hinton,(2011),283,38,"5' 3"""
Angelina Jolie,(2014),284,44,"5' 6¾"""
Abigail Breslin,(2006),285,23,"5' 1"""
Josh Radnor,(2012),286,45,"5' 11½"""
Kate Winslet,(2004),287,44,"5' 6½"""
Amy Ryan,(2007),288,51,"5' 3½"""
Nicole Kidman,(2001),289,52,"5' 11"""
Robert De Niro,(1980),290,76,"5' 9¾"""
Elizabeth Debicki,(2013),291,29,"6' 3"""
