name,year,rank,age,height
Toby Regbo,(2009),"5,341",28,"5' 10"""
Barbara Stanwyck,(1907–1990),"5,342",112,"5' 5"""
David Moscow,(1988),"5,343",45,"5' 9"""
Jeanette Nolan,(1911–1998),"5,344",108,
Jerry Lewis,(1926–2017),"5,345",94,"5' 10½"""
Bob Newhart,(1977),"5,346",90,"5' 6"""
Austin Abrams,(2015),"5,347",,"5' 7½"""
Michael Conner Humphreys,(1994),"5,348",34,
Mike Smith,(2001-2018),"5,349",47,"5' 10"""
Jonathan Sadowski,(2009),"5,350",40,"6' 1"""
Robert Carradine,(1984),"5,351",65,"5' 11½"""
Milo Gibson,(2016),"5,352",,
Uzo Aduba,(2013-2019),"5,353",39,"5' 6"""
Zeljko Ivanek,(2017),"5,354",62,"5' 7"""
Ben Chaplin,(1998),"5,355",49,"5' 11"""
Brigid Brannagh,(2007-2013),"5,356",,"5' 3"""
Melissa Bolona,(2018),"5,357",,"5' 9"""
Thomas Dekker,(2008-2009),"5,358",32,"5' 10"""
August Diehl,(2009),"5,359",44,"5' 11"""
Emayatzy Corinealdi,(2012),"5,360",,"5' 7"""
Christina Ochoa,(2016-2020),"5,361",,"5' 10"""
Susan Dey,(1970-1974),"5,362",67,"5' 7"""
Gaia Weiss,(2015),"5,363",,"5' 10"""
Scott Cohen,(2000),"5,364",,"6' 1"""
Jo Ann Harris,(1974),"5,365",70,
Stuart Townsend,(2003),"5,366",47,"5' 11"""
Katrina Kaif,(2011),"5,367",35,"5' 6¼"""
Ragga Ragnars,(2018-2020),"5,368",,"6' 2¼"""
Jana Kramer,(2009-2012),"5,369",36,"5' 4"""
Paul Sorvino,(1990),"5,370",80,"6' 3"""
Ann Blyth,(1945),"5,371",92,"5' 2"""
Karina Lombard,(1994),"5,372",,"5' 9"""
Fionn Whitehead,(2017),"5,373",,"5' 9"""
Steven Mackintosh,(2006),"5,374",52,"5' 7"""
Sean Bridgers,(2015),"5,375",52,"6' 1¾"""
Joanna Barnes,(1958),"5,376",85,
Paul Schneider,(2007),"5,377",44,"5' 11½"""
Shaun Dingwall,(2017),"5,378",47,
Daryl Mitchell,(1999),"5,379",54,
Matias Varela,(2016),"5,380",39,"5' 10½"""
Steven Berkoff,(1983),"5,381",82,"5' 9"""
Katia Winter,(2020),"5,382",,"5' 9"""
Marielle Heller,(2015),"5,383",40,"5' 6"""
Skip Homeier,(1930–2017),"5,384",89,"6' 1½"""
Chris Larkin,(2003),"5,385",52,
Olesya Rulin,(2008),"5,386",34,"5' 1"""
Kara Keough,(1995),"5,387",31,
Aisling Loftus,(2016),"5,388",29,"5' 6"""
Kathleen Munroe,(2015-2018),"5,389",,"5' 5"""
Liz Carr,(2013-2020),"5,390",,
Jennifer Schwalbach Smith,(2001),"5,391",48,"5' 10"""
Jessica Cauffiel,(2001),"5,392",,"5' 4"""
Jane Birkin,(1982),"5,393",73,"5' 7"""
Jennifer Grant,(1993-1994),"5,394",54,"5' 7"""
Tara Summers,(2016-2017),"5,395",,"5' 7½"""
Sebastian Roché,(2014),"5,396",,"5' 10½"""
Brian J. Smith,(2009-2011),"5,397",38,"6' 0½"""
Michael Rady,(2005),"5,398",38,"6' 0"""
Richard Brake,(2005),"5,400",,"6' 2"""
Kirsty Hill,(2014),"5,401",,"5' 4¼"""
Radhika Madan,(2018),"5,402",,"5' 2"""
Jere Burns,(2010-2015),"5,403",65,"5' 8½"""
Dabney Coleman,(1983),"5,404",88,"6' 1"""
Tyne Daly,(2017),"5,405",74,"5' 5½"""
Rutina Wesley,(2008-2014),"5,406",41,"5' 5½"""
Brea Grant,(2020),"5,407",,"5' 2"""
Britney Spears,(2002),"5,408",38,"5' 4"""
Brennah Black,,"5,409",,
Kyle Schmid,(2017-2018),"5,410",35,"5' 10"""
Colin Donnell,(2012-2020),"5,411",,"5' 10½"""
Chad Lowe,(2002),"5,412",52,"5' 8½"""
Conleth Hill,(2011-2019),"5,413",55,"5' 9"""
Nabiha Akkari,(2017),"5,414",,
Cas Anvar,(2015-2019),"5,415",,"5' 11"""
Jerry Levine,(1985),"5,416",,"5' 10½"""
Casey Deidrick,(2019),"5,417",,"6' 3½"""
Karan Soni,(2016),"5,418",,"5' 8½"""
Robert Lindsay,(1991),"5,419",70,"5' 10"""
John Reynolds,(2016-2017),"5,420",,
David Hewlett,(2017),"5,421",51,"5' 9"""
Carly Craig,(2011),"5,422",,"5' 7"""
Christina Chong,(2011),"5,423",,"5' 4"""
Ginger Rogers,(1911–1995),"5,424",108,"5' 4½"""
Eric McCormack,(1998-2020),"5,425",56,"5' 11"""
Alex Reid,(2009-2011),"5,426",,"5' 7"""
Susan Tyrrell,(1945–2012),"5,427",75,"5' 5"""
Eliza Bennett,(2016-2017),"5,428",,"5' 5"""
Cassi Thomson,(2014),"5,429",26,"5' 3"""
Toby Huss,(1997-2010),"5,430",53,"6' 0"""
Ona Grauer,(2003),"5,431",44,"5' 6½"""
Rachel Alig,(2012),"5,432",,"5' 7¾"""
Logan Miller,(2015),"5,433",28,"5' 6"""
Patricia Owens,(1925–2000),"5,434",95,"5' 7"""
Dascha Polanco,(2013-2019),"5,435",,"5' 5"""
Aaron Lohr,(2005),"5,437",43,"5' 11"""
Josh Charles,(1989),"5,438",48,"5' 11"""
Adam Shulman,,"5,439",38,"5' 9¾"""
Samuel West,(1992),"5,440",53,"6' 0"""
Robert James-Collier,(2010-2015),"5,441",43,"6' 1½"""
Elena Satine,(2018),"5,442",,"5' 6"""
Eartha Kitt,(1927–2008),"5,443",93,"5' 2"""
Michael Emerson,(2006-2010),"5,444",65,"5' 8½"""
Dana DeLorenzo,(2015-2018),"5,445",,"5' 3"""
Danny Pino,(2003-2010),"5,446",45,"6' 0"""
Glenn Fleshler,(2019),"5,447",,"6' 1"""
Mitch Pileggi,(1992),"5,448",67,"6' 1"""
Jill Ireland,(1936–1990),"5,449",83,"5' 7"""
Danila Kozlovsky,(2014),"5,450",34,"5' 11"""
Lana Wood,(1971),"5,451",74,"5' 3"""
Rebecca Creskoff,(2009),"5,452",49,"5' 9"""
Emily Perkins,(2000),"5,453",42,"5' 4"""
Amber Nash,(2009-2019),"5,454",,"5' 7"""
Skandar Keynes,(2005),"5,455",28,"5' 8"""
Jessica Tandy,(1909–1994),"5,456",110,"5' 4"""
David Walton,(2016),"5,457",41,"6' 4½"""
Mia McKenna-Bruce,(2019),"5,458",22,"5' 0"""
Eugenio Derbez,(2013),"5,459",57,"5' 10½"""
Elizabeth Chambers,(2007),"5,460",37,"5' 10"""
Dana Hill,(1964–1996),"5,461",55,"5' 0"""
Kirsten Baker,(1981),"5,462",59,"5' 8"""
Amy O'Neill,(1989),"5,463",48,"5' 7"""
Amiah Miller,(2017),"5,464",,"5' 5½"""
Harlan Coben,(2006),"5,465",58,
Robert Glenister,(2016),"5,466",60,"5' 10¼"""
Rihanna,(2012),"5,467",32,"5' 8"""
Joanne Tucker,(2019),"5,468",,
Kay Panabaker,(2009),"5,469",29,"5' 0"""
David Weil,(2020),"5,470",,
Andrea King,(1919–2003),"5,471",101,"5' 5½"""
Graham Wardle,(2007-2019),"5,472",,
Brooke Williams,(2010-2012),"5,473",,"5' 3"""
Stephen Mangan,(2004-2006),"5,474",51,"6' 0"""
George Segal,(1966),"5,475",86,"5' 10½"""
Madeleine Madden,(2019),"5,476",,
Ella Rae Peck,(2012),"5,477",29,"5' 5"""
Jon Gries,(2004),"5,478",62,"5' 11"""
Sally Struthers,(1971-1979),"5,479",72,"5' 1"""
Jim Gaffigan,(2017),"5,480",53,"6' 0"""
Julia Duffy,(1983-1990),"5,481",,"5' 0"""
Aidy Bryant,(2012-2020),"5,482",,"5' 3"""
Stephen Tobolowsky,(1987),"5,483",68,"6' 2"""
Chandra Wilson,(2005-2020),"5,484",50,"5' 0"""
Naveen Andrews,(1996),"5,485",51,"5' 9"""
Caitlin McGee,(2019),"5,486",,
Clifton Webb,(1889–1966),"5,487",130,"5' 10½"""
Joseph Raymond Lucero,(2018-2019),"5,488",,
Taylor Black,(2017),"5,489",28,
Robert Ri'chard,(2005),"5,490",37,"5' 9½"""
Samantha Smith,(2005-2019),"5,491",,"5' 8"""
Audie Murphy,(1924–1971),"5,492",95,"5' 5"""
Lee Grant,(1967),"5,493",94,"5' 4"""
Travis Willingham,(2013-2019),"5,494",38,"6' 3"""
Connor Trinneer,(2001-2005),"5,495",51,"5' 11"""
Henry Lloyd-Hughes,(2019),"5,496",34,"5' 11"""
Patty Duke,(1946–2016),"5,497",73,"5' 0"""
Brenda Bakke,(1997),"5,499",56,"5' 5"""
Martina García,(2016),"5,500",,"5' 6½"""
Tiffany Dupont,(2018),"5,501",,"5' 7"""
Peter Mooney,(2012-2015),"5,502",36,"6' 0¼"""
Robert Taylor,(1911–1969),"5,504",108,"5' 11½"""
Hedda Stiernstedt,(2017-2020),"5,505",32,"5' 4¼"""
Vincent Schiavelli,(1948–2005),"5,506",71,"6' 4¾"""
Dean Martin,(1917–1995),"5,507",102,"5' 10"""
Emily Tosta,(2018-2019),"5,508",,"5' 2"""
Terry Serpico,(2007-2013),"5,509",,"6' 0"""
Gary Hudson,(1989),"5,510",,"6' 0"""
Michael York,(1976),"5,511",77,"5' 10½"""
Teri Wyble,(2014),"5,512",,"5' 5"""
Kent McCord,(1982),"5,513",77,"6' 2"""
David Hasselhoff,(1989-2001),"5,514",67,"6' 4"""
Laia Costa,(2015),"5,515",,"5' 5"""
Brian Thomas Smith,(2010-2019),"5,516",,"6' 3"""
Liz Katz,(2019),"5,517",31,"5' 0"""
Frances de la Tour,(2006),"5,518",75,"5' 7"""
Anthony LaPaglia,(2002-2009),"5,519",61,"5' 10¼"""
Juanin Clay,(1949–1995),"5,520",70,
Laura Clery,(2014),"5,521",,
Kurt Sutter,(2008-2014),"5,522",59,"5' 10"""
Bill Mumy,(1994-1998),"5,523",66,"5' 7"""
Devon Werkheiser,(2019),"5,524",29,"5' 9"""
Jane Wymark,(1997-2011),"5,525",67,
Zosia Mamet,(2010),"5,526",32,"5' 4"""
Jake Abel,(2014),"5,527",,"6' 1"""
Perrey Reeves,(2003),"5,528",49,"5' 5½"""
Sofia Pernas,(2011),"5,529",30,"5' 6"""
Ramona Young,(2018-2020),"5,530",,"5' 4½"""
Rob Huebel,(2011),"5,531",50,"6' 1"""
Gemma Jones,(1995),"5,532",77,"5' 6"""
Marcia Strassman,(1948–2014),"5,533",71,"5' 10"""
Jacqueline Obradors,(1998),"5,534",,"5' 6½"""
Bill Fagerbakke,(2015),"5,535",62,"6' 6"""
Alexander Gould,(2003),"5,536",25,"5' 8"""
Jaz Sinclair,(2018-2020),"5,537",,"5' 5"""
Barry Bostwick,(1975),"5,538",75,"6' 4"""
Pearce Joza,(2016-2020),"5,539",,"5' 7"""
Ava Michelle,(2019),"5,540",,"6' 1½"""
Don Gilet,(2008-2016),"5,541",52,"5' 9"""
Richard O'Brien,(1975),"5,543",77,"5' 8"""
Amber Rose Revah,(2010),"5,544",33,"5' 4½"""
Angelica Ross,(2019-2020),"5,545",,"5' 6"""
Yan-Kay Crystal Lowe,(2006),"5,546",,"5' 5"""
Suzy Amis,(1995),"5,547",58,"5' 8"""
Lauren O'Rourke,(2011),"5,548",,
Max Carver,(2021),"5,549",31,"6' 0"""
Lois Maxwell,(1927–2007),"5,550",93,"5' 8"""
Casey Siemaszko,(1985),"5,551",59,"5' 8"""
Marlene Dietrich,(1901–1992),"5,552",118,"5' 4½"""
Brett Butler,(1993-1998),"5,553",62,"5' 9"""
Schuyler Fisk,(2002),"5,554",37,"5' 5"""
Cheri Oteri,(2000),"5,555",57,"5' 2"""
Beth Broderick,(1996-2002),"5,556",61,"5' 8"""
Bella Dayne,(2020),"5,557",,"5' 7"""
Wilhelm von Homburg,(1940–2004),"5,558",79,"6' 3"""
Victoria Smurfit,(2003),"5,559",45,"5' 8"""
Errol Flynn,(1909–1959),"5,560",110,"6' 2¼"""
Brian Tee,(2016),"5,561",,"6' 0¼"""
Jane Kaczmarek,(2000-2006),"5,562",64,"5' 6½"""
Flula Borg,(2015),"5,563",,"6' 3"""
Margaret Colin,(1996),"5,564",61,"5' 9¾"""
Austin O'Brien,(1993),"5,566",38,"6' 0"""
Leslie Caron,(1958),"5,567",88,"5' 1½"""
Ashley Walters,(2008),"5,568",37,"5' 8½"""
Grace Lee Whitney,(1930–2015),"5,569",89,"5' 6"""
Robert Iler,(1999-2007),"5,570",35,"5' 7"""
Kenneth Tigar,(2012),"5,571",77,"5' 6"""
James Stacy,(1936–2016),"5,572",83,
Roland Møller,(2015),"5,573",,
Wendell Pierce,(2002-2008),"5,574",56,"5' 8"""
Susan Blakely,(1974),"5,575",,"5' 8½"""
Kaitlyn Leeb,(2012),"5,576",,"5' 4"""
Henry Hunter Hall,(2019),"5,577",,
Andrea Bogart,(2013),"5,578",,"5' 7"""
Rachel Roxx,(2008),"5,579",37,"5' 2"""
Susan Oliver,(1932–1990),"5,580",88,"5' 5"""
Sarah Wynter,(2000),"5,581",47,"5' 6"""
Natalie Krill,(2006),"5,582",37,"5' 7½"""
Fiona Vroom,(2017),"5,583",,"5' 4"""
Paige Hurd,(2015),"5,584",27,"5' 4"""
Lauren Lane,(1993-1999),"5,585",,"5' 9"""
Jason Butler Harner,(2008),"5,587",,"6' 1"""
Jamal Duff,(2011),"5,588",48,"6' 8"""
Mitra Suri,(2019),"5,589",,"5' 6"""
Liliana Mumy,(2003),"5,590",25,"5' 5"""
Paul Sparks,(2015-2018),"5,591",48,"5' 11½"""
Nia Vardalos,(2002),"5,592",57,"5' 6"""
Simon McBurney,(2011),"5,593",62,"5' 6½"""
Chiaki Kuriyama,(2003),"5,594",35,"5' 3½"""
Amanda Blake,(1929–1989),"5,595",91,"5' 6"""
Joyce Hyser,(1985),"5,596",62,
Joan Plowright,(1993),"5,597",90,"5' 4½"""
Denver Pyle,(1920–1997),"5,598",99,"6' 1"""
Nina Hartley,(1997),"5,600",61,"5' 5¾"""
Kiran Sonia Sawar,(2016),"5,601",,"5' 5"""
Yeardley Smith,(1989-2020),"5,602",55,"5' 3"""
Irene Bedard,(1995),"5,604",52,"5' 0½"""
Nicholas Rowe,(1985),"5,605",53,"6' 4"""
Robin McLeavy,(2009),"5,606",,"5' 4¼"""
Roger Black,(2012-2015),"5,607",,"6' 3"""
Mark Rowley,(2017-2018),"5,608",,"6' 0"""
Luke Bailey,(2016),"5,609",36,"5' 9"""
Michael Haneke,(2005),"5,610",77,"6' 3"""
Michelle Fairley,(2011-2016),"5,611",,"5' 5"""
Shanola Hampton,(2011-2020),"5,612",42,"5' 3"""
Kathryn Drysdale,(2016-2020),"5,613",,"5' 2"""
Chad McQueen,(1984),"5,614",59,"5' 9"""
Lance Barber,(2013),"5,615",,"6' 2"""
Rachel House,(2016),"5,616",48,"5' 7"""
Bronwyn James,(2017-2019),"5,617",,
Cole Allen,(2018-2020),"5,618",,"5' 3½"""
Shawn Levy,(2016),"5,619",51,"5' 11"""
Quinton Aaron,(2009),"5,620",35,"6' 10"""
Valerie Bertinelli,(1975-1984),"5,621",59,"5' 3½"""
Beverley Mitchell,(1996-2007),"5,622",39,"5' 2"""
Luke Treadaway,(2011),"5,623",35,"5' 9"""
Lambert Wilson,(2003),"5,624",61,"6' 2"""
Sinéad Cusack,(2005),"5,625",72,"5' 5"""
Emma Caulfield Ford,(2017),"5,626",46,"5' 5"""
Lee Ingleby,(2016-2017),"5,627",,"5' 10"""
Colton Dunn,(2012-2015),"5,628",42,"6' 0"""
Alexander Arnold,(2019),"5,629",27,"6' 0"""
Jennie Garth,(1990-2000),"5,630",47,"5' 5"""
Juliana Harkavy,(2014),"5,631",35,"5' 8"""
Ross Marquand,(2015-2020),"5,632",,"6' 1"""
Frances Barber,(2005),"5,633",61,"5' 4½"""
Joel McCrea,(1905–1990),"5,634",114,"6' 2½"""
Victor French,(1934–1989),"5,635",85,"6' 1"""
Leonardo Nam,(2016-2018),"5,636",,"5' 10"""
Sandra Dee,(1942–2005),"5,637",77,"5' 4"""
Nora Arnezeder,(2008),"5,638",30,"5' 7"""
Phoebe Fox,(2015),"5,639",32,"5' 2"""
Sarah Solemani,(2016),"5,640",33,
Scott MacArthur,(2017-2018),"5,641",40,"5' 11"""
Daniel Tosh,(2008),"5,642",44,"6' 3"""
Everett McGill,(2017),"5,643",74,"6' 1½"""
Joseph Gatt,(2019),"5,644",,"6' 1"""
Chris Bauer,(2003-2004),"5,645",53,"6' 0½"""
Michelle Johnson,(1984),"5,646",,"5' 9½"""
Timothy V. Murphy,(2007),"5,647",,"6' 1¼"""
Julie McNiven,(2019),"5,648",,"5' 6"""
Tracy Scoggins,(2007),"5,649",,"5' 8"""
Anna Maxwell Martin,(2007),"5,650",42,"5' 6"""
Kristen Renton,(2019),"5,651",,"5' 7½"""
Alicia von Rittberg,(2014),"5,652",26,"5' 5"""
Ed Sheeran,(2019),"5,653",29,"5' 8"""
Ian Tracey,(2012-2015),"5,654",55,"5' 7"""
Shawn Andrews,(2008),"5,655",,"6' 1"""
Mini Anden,(2011),"5,656",41,"5' 10¼"""
Jemima Kirke,(2010),"5,657",34,"5' 2"""
Alexandra Roach,(2012),"5,658",32,"5' 7½"""
Sturgill Simpson,(2019),"5,659",,
Michael McDonald,(1998-2009),"5,660",55,"6' 3½"""
Victor Rasuk,(2005),"5,661",,"5' 7"""
Tony Danza,(2013),"5,662",68,"5' 9"""
Sasha Mitchell,(1991-1998),"5,664",52,"6' 3"""
Trace Lysette,(2019),"5,665",,"5' 8"""
Liza Snyder,(2000-2006),"5,666",52,"5' 7"""
Da'Vine Joy Randolph,(2019),"5,667",,
Deep Roy,(2009),"5,668",71,"4' 4"""
Ivy Lebelle,(2019),"5,669",32,"5' 7"""
Margo Stilley,(2004),"5,670",37,"5' 9"""
Rock Hudson,(1925–1985),"5,671",94,"6' 5¼"""
JD Pardo,(2012),"5,672",39,"5' 11"""
Kayla Ewell,(2009-2017),"5,673",,"5' 7"""
Caroline Williams,(2019),"5,674",,"5' 6"""
Steve Pemberton,(1999-2017),"5,675",52,"5' 9"""
Dedee Pfeiffer,(1993),"5,677",56,"5' 5"""
Adrian Zmed,(1984),"5,678",66,"5' 8½"""
Kris Holden-Ried,(2012),"5,679",46,"6' 1½"""
Nigel Lindsay,(2010),"5,680",,
Ignacio Serricchio,(2015),"5,681",37,"5' 9"""
Herman Tømmeraas,(2020),"5,682",,
Sal Mineo,(1939–1976),"5,683",81,"5' 6"""
Carol Burnett,(1967-1978),"5,684",86,"5' 6½"""
Tim Russ,(1987),"5,685",63,"5' 11½"""
Ella Hunt,(2017),"5,686",,"5' 5"""
Brian Doyle-Murray,(1980),"5,687",74,"5' 8½"""
David Castañeda,(2018),"5,688",,"5' 11½"""
Michael Weston,(2008),"5,689",,"5' 11"""
Lee Majdoub,(2020),"5,690",,"5' 10"""
Dana Carvey,(1992),"5,691",64,"5' 8"""
Steve Blum,(2014-2018),"5,692",59,"5' 11"""
Waleed Zuaiter,(2016),"5,693",49,"6' 0"""
Leo Howard,(2011),"5,694",22,"5' 10½"""
Javier Botet,(2017),"5,695",42,"6' 6¾"""
Bérénice Bejo,(2011),"5,696",43,"5' 5¾"""
Ryan Potter,(2014),"5,697",24,"5' 7½"""
Henry Zebrowski,(2013),"5,698",35,"5' 7"""
Kyliegh Curran,(2019),"5,699",,
Benjamin Hollingsworth,(2015-2018),"5,700",35,"5' 10½"""
Barbara Niven,(2016-2018),"5,701",,"5' 5"""
Megan Gallagher,(1992-1995),"5,702",,"5' 6½"""
Siobhan Williams,(2018),"5,703",,"5' 3½"""
Carlo Costanzia,(2019),"5,704",,
Harve Presnell,(1933–2009),"5,705",86,"6' 5"""
Callan Mulvey,(2016),"5,706",,"6' 2"""
Leland Orser,(1995),"5,707",,"5' 8½"""
George Sanders,(1906–1972),"5,708",113,"6' 3"""
Hannah Rose May,(2017-2018),"5,709",,"5' 8"""
Tom Savini,(1996),"5,710",73,"5' 6¾"""
Joanna Moore,(1934–1997),"5,711",85,
John Belushi,(1949–1982),"5,712",71,"5' 8"""
Ahmed Bakare,(2020),"5,713",,
Richard Harmon,(2014-2020),"5,715",28,"5' 9½"""
Sophie Okonedo,(2004),"5,717",51,"5' 8"""
Maximilian Schell,(1930–2014),"5,718",89,"5' 11"""
Arija Bareikis,(1999),"5,719",53,
André the Giant,(1946–1993),"5,720",73,"7' 4¼"""
Kyla Pratt,(2001-2006),"5,721",33,"5' 2"""
Julia Goldani Telles,(2012-2013),"5,722",,"5' 7"""
Karen Pittman,(2013),"5,723",,"5' 5"""
Georgina Haig,(2014-2018),"5,724",34,"5' 7"""
Christopher Atkins,(1980),"5,725",59,"5' 10½"""
Stefania LaVie Owen,(2015),"5,726",22,"5' 3"""
Gloria Stuart,(1910–2010),"5,727",109,"5' 3½"""
Jill Halfpenny,(2006-2007),"5,728",44,"5' 4"""
Amara Karan,(2007),"5,729",35,"5' 3½"""
Karrueche Tran,(2016),"5,730",31,"5' 1"""
Ed Wynn,(1886–1966),"5,731",133,"6' 0"""
Aleksa Palladino,(2010-2011),"5,732",39,"5' 1½"""
Beatie Edney,(1986),"5,733",57,"5' 6"""
Amy Seimetz,(2013),"5,734",38,"5' 6½"""
David Soul,(2004),"5,735",76,"6' 0½"""
John Savage,(2019),"5,736",70,"5' 9½"""
Michael Gough,(1916–2011),"5,737",103,"5' 11"""
Erin Doherty,(2019-2020),"5,738",,"5' 5½"""
Rona-Lee Shim'on,(2016),"5,739",,"5' 9"""
Judy Norton,(1971-1981),"5,740",,"5' 5"""
Elizabeth Bracco,(1999),"5,741",62,
Nick Adams,(1931–1968),"5,742",88,"5' 7"""
Aurora Perrineau,(2015),"5,743",,"5' 6"""
Karine Vanasse,(2009),"5,744",36,"5' 6"""
Andrew Wilson,(2009),"5,745",55,"6' 1"""
Tom Amandes,(1996),"5,746",61,"6' 1"""
Kasia Smutniak,(2016),"5,747",40,"5' 8¼"""
Patricia Richardson,(1991-1999),"5,748",69,"5' 7"""
Jahking Guillory,(2016),"5,749",,
Tituss Burgess,(2015-2019),"5,750",41,
Ellen DeGeneres,(2003-2020),"5,751",62,"5' 7½"""
Martin Campbell,(2006),"5,752",76,"5' 10"""
Sean Hayes,(1998-2020),"5,753",49,"5' 11"""
Jessy Hodges,(2019),"5,754",,
Uriah Shelton,(2010),"5,755",23,"5' 10"""
Patricia Neal,(1926–2010),"5,756",94,"5' 8½"""
Lino Facioli,(2011-2019),"5,757",19,"5' 11"""
Anupam Kher,(2012),"5,758",65,"5' 6"""
Elizabeth Faith Ludlow,(2019),"5,759",,"5' 9"""
Dorothy McGuire,(1916–2001),"5,760",103,"5' 5"""
Alfonso Ribeiro,(1990-1996),"5,761",48,"5' 7"""
David Ramsey,(2012-2020),"5,762",48,"6' 2"""
Irrfan Khan,(2013),"5,763",53,"5' 10¾"""
Reid Scott,(2012-2019),"5,764",,"6' 1"""
Jill Flint,(2004),"5,765",42,"5' 8"""
Roseanne Barr,(1988-2018),"5,766",67,"5' 4"""
Madison Riley,(2009),"5,767",30,"5' 9"""
Chazz Palminteri,(1995),"5,768",67,"6' 2½"""
Aqueela Zoll,(2019),"5,769",,"5' 8"""
Kevin Tighe,(1990),"5,770",75,"6' 1"""
Kath Soucie,(2016),"5,771",66,
Debbie Watson,(1967),"5,772",71,"5' 8"""
Jean Marsh,(1988),"5,773",85,"5' 6½"""
Richard Burton,(1925–1984),"5,774",94,"5' 10¼"""
Ron Jeremy,(1999),"5,775",67,"5' 7½"""
Sylvia Kristel,(1952–2012),"5,776",67,"5' 9"""
Mindy Cohn,(1979-1988),"5,777",53,"5' 1"""
Sarita Choudhury,(2006),"5,778",53,"5' 5"""
Ryan Michelle Bathe,(2012),"5,779",43,
Morven Christie,(2019),"5,780",,"5' 3"""
Bobbie Phillips,(2019),"5,781",,
Ruta Lee,(1957),"5,782",84,"5' 1"""
Kylie Jenner,(2018),"5,783",22,"5' 6"""
Lola Albright,(1924–2017),"5,784",95,"5' 5"""
Jane March,(1992),"5,785",47,"5' 2"""
Stanley Weber,(2016),"5,786",33,
Kara Hoffman,(2004),"5,787",17,"5' 3"""
Victoria Principal,(1978-1991),"5,788",70,"5' 6"""
Anthony Quinn,(1915–2001),"5,789",104,"6' 2"""
Ralf Little,(1998-2010),"5,790",40,"6' 0"""
Matt Ross,(2016),"5,791",50,"6' 0½"""
Margaret Hamilton,(1902–1985),"5,792",117,"5' 0"""
Tanner Buchanan,(2016-2018),"5,793",,"5' 8"""
Moran Atias,(2013),"5,795",38,"5' 9"""
Brianne Howey,(2019),"5,796",30,"5' 6"""
Dwight Yoakam,(1996),"5,797",63,"6' 0"""
Valerie Perrine,(1978),"5,798",76,"5' 7½"""
Erin Murphy,(1966-1972),"5,799",55,"5' 4"""
Alysia Reiner,(2013-2019),"5,800",,"5' 11"""
Kj Smith,(2018),"5,801",,"5' 4"""
Mark Williams,(2005),"5,802",60,"6' 1¼"""
Nelsan Ellis,(1977–2017),"5,803",42,"5' 9½"""
The Weeknd,(2018),"5,804",,"5' 6¾"""
Lili Mirojnick,(2017-2019),"5,805",,"5' 5"""
Frank Sinatra,(1915–1998),"5,806",104,"5' 7¾"""
Elizabeth Henstridge,(2016),"5,807",,"5' 4"""
Marcia Cross,(2004-2012),"5,808",57,"5' 8½"""
Ben Gazzara,(1930–2012),"5,809",89,"5' 10"""
David Oyelowo,(2014),"5,810",,"5' 9"""
Theo Rossi,(2016-2018),"5,811",,"5' 11"""
Ava Telek,(2017),"5,812",,"4' 7"""
Virginia Williams,(2015),"5,813",42,"5' 7"""
Spencer Tracy,(1900–1967),"5,814",119,"5' 9½"""
FKA Twigs,(2015),"5,815",32,"5' 2½"""
Amy Morton,(2009),"5,816",,
Isaiah Washington,(2005-2016),"5,817",56,"6' 1"""
Gloria Grahame,(1923–1981),"5,818",96,"5' 6"""
Yvette Nicole Brown,(2009-2015),"5,819",48,"5' 1"""
Winter Ave Zoli,(2002),"5,820",39,"5' 7"""
Dale Dye,(1996),"5,821",75,"6' 0"""
Felicity Kendal,(1975-1978),"5,822",73,"5' 0"""
Ellie Bamber,(2019),"5,823",23,"5' 6"""
Michael Jeter,(1952–2003),"5,824",67,"5' 4"""
Kit Connor,(2019),"5,825",16,
Lee Tergesen,(1997-2003),"5,826",54,"5' 10½"""
Harvey Fierstein,(1993),"5,827",65,"6' 1"""
Joanna Vanderham,(2012),"5,828",,"5' 7"""
Daniela Bobadilla,(2012-2014),"5,829",,"5' 0"""
José de la Torre,(2019),"5,830",,
Pam Dawber,(1978-1982),"5,831",68,"5' 6½"""
Rod Steiger,(1925–2002),"5,832",94,"5' 10"""
Dominique Provost-Chalkley,(2016-2018),"5,833",,"5' 3½"""
Leslie Jordan,(2011),"5,834",64,"4' 11"""
Nolan Gerard Funk,(2018),"5,835",,"6' 1½"""
Joan Staley,(1940–2019),"5,836",79,"5' 5"""
Patti D'Arbanville,(2010),"5,837",,"5' 4"""
Beverly Adams,(1965),"5,838",74,
Blair Brown,(1987-1991),"5,839",73,"5' 2½"""
Sendhil Ramamurthy,(2009),"5,840",45,"5' 9¾"""
Hayley Kiyoko,(2015),"5,841",28,"5' 4"""
Sadie Stanley,(2019),"5,842",,"5' 5"""
Joan Blackman,(1961),"5,844",81,
Maeve Dermody,(2009),"5,845",,"5' 7"""
Aviva Baumann,(2007),"5,846",,"5' 3"""
Ryan Kelley,(2014-2017),"5,847",33,"6' 0"""
Jon Lovitz,(1998),"5,848",62,"5' 9½"""
Magda Apanowicz,(2013),"5,849",,"5' 3"""
Alison Eastwood,(1997),"5,851",47,"5' 8"""
Vincent Ventresca,(1997),"5,852",53,"6' 2"""
Jeana Keough,(1982),"5,854",64,"5' 7"""
Sarah Grey,(2017),"5,855",23,"5' 8"""
